abbreviations,officialnames,descriptions
AoT,Academy of Technology,現IBM Open Innovation Community。IBMのGEOを超えた（＝グローバルな）技術コミュニティ。TEC-Jの親コミュニティ。
AI&A,AI & Analytics,AIを活用した分析で、お客様の経営課題解決や新たな経営戦略実現を担う部署。SCM最適化、価格最適化、R&Dプロセス最適化など多くの分析プロジェクトを実施。DX組織立上げ支援、デジタル人材育成サービスなども。
BTS,Business Transformation Services,"IBM Consultingの２つのGrowth Platforms（組織）のうちの片方。あるいは、IBM Consulting社員全員が2つのうちのどちらかをもつPractice（専門領域）の片方。もう片方はHCS。お客様の課題を「戦略・業務コンサルティング、テクノロジー導入、プロセスアウトソーシング」でEnd to Endで解決すべく、ドメイン別サービスライン（FSCT, CT, TT, DTT, Delivery）とBPO ServicesとITUで構成。"
CIC,Client Innovation Center,世界各地に存在するIBMのクライアントを対象としたワークショップや商談を行う拠点。
CTL,Client Technical Leader,クライアントテクニカルリーダー（CTL）は、クライアントに戦略的技術的リーダーシップを提供する部隊。主にCTOなどに該当する役割。
CAS AMB,"Cloud Application Services Advise, Move, and Build",過去の組織名。現HCT。HCTの項目を参照。
CAS Manage,Cloud Application Services Manage,過去の組織名。現HCM。HCMの項目を参照。
DSN,Data Science Network,日本IBMにてData Scienceに関する研究結果や話題のトピックに関するディスカッションなどを行うコミュニティ。
CBDS,Cognitive Business Decision Support,過去の部署名。CPT内にあった、現BTS内のDTT。DTTの項目を参照。
CPR,Cognitive Process Re-Engineering,"過去の部署名。CPT内にあった。現在BTS内のFSCT。お客様のデジタルトランスフォーメーションを推進するため、お客様のCFO, COO, CSCO, CIOが考える課題を解決していた。"
CPS,Cognitive Process Service,過去の部署名。CPT内にあった、現在はBTS内の機能。ビジネスプロセスアウトソーシング（BPO）を主体とした業務のデジタル変革を推進していた。
CPT,Cognitive Process Transformation,過去の部署名。業務はBTSに引き継がれている。ワトソンやAI・IoT等のIBMの新しい強いテクノロジーを活用して大きな業務変革を実現する部門だった。
CH&S,Corporate Health & Safety,社員の安全衛生・健康管理を行う部署。心身のことで相談したい場合もこちら。
COSMOS,COSMOS Networking,日本IBM女性技術者に関するコミュニケーションや情報共有、情報発信のツールとして活用するためのコミュニティ。
CMT,Crisis Management Team,緊急事態、災害、または大災害が発生した場合に、復旧を行う組織。国や拠点レベルで存在している。
CIS,Cross Industry Service,クロスインダストリー事業部（IJDS）。流通、公共/公益、製造等の業種のお客様を担当し、システムの開発から運用保守まで行う。
CSM,Customer Service Manager,カスタマーサクセス部門のメンバー。「IBM製品を通じてお客様の事業成功に貢献し、結果的にIBM製品をお客様に末長く効果的にご愛用いただくこと」をメインミッションとする。
